identifier,headline,date,source,source,subject,relevant_text,paragraphs,word count,keywords,path
AXP,American Express Co.(AXP,US) Schedules Annual General Meeting for 2-May-2016 900 AM ET,19,,,,0,0,,AXP - American Express Co.(AXP-US) Schedules Annual General Meeting for 2-May-2016 900 AM ET - 19-Feb-16 - FCSTEV.pdf
AXP,American Express Co.(AXP,US) Schedules Annual General Meeting for 7-May-2019 900 AM ET,13,,,,0,0,,AXP - American Express Co.(AXP-US) Schedules Annual General Meeting for 7-May-2019 900 AM ET - 13-Feb-19 - FCSTEV.pdf
AXP,American Express Co.(AXP,US) Schedules Q2 2020 Earnings Call for 24-July-2020 830 AM ET,22,,,,0,0,,AXP - American Express Co.(AXP-US) Schedules Q2 2020 Earnings Call for 24-July-2020 830 AM ET - 22-Jun-20 - FCSTEV.pdf
"AXP, US025816109","American Express Increases Parental Leave and Family Benefits for U.S. Employees Beginning January 1, 2017",12-Dec-16,BW,American Express,Product/Service,"American Express Increases Parental Leave and Family Benefits for U.S. Employees Beginning January 1, 2017  Monday, December 12, 2016 01:55:00 PM (GMT) | American Express (NYSE:AXP) today announced that the company’s U.S.-based regular full-time and part- time employees will be eligible for 20 weeks of paid parental leave. In addition, the company will be increasing its employee benefits for reproductive services, surrogacy, adoption and lactation. | The new paid parental leave policy covers women and men welcoming a child through birth, adoption and surrogacy. In addition to the 20 weeks of paid parental leave, birthing mothers will be eligible to receive paid, medically-necessary leave related to the birth of their child, which is generally, six to eight additional weeks. | Additionally, beginning in January, expectant parents will have access to a parent concierge, who will help employees understand and navigate parental leave and the wide array of parental resources and programs available to them.",4,"22, 42, 53, 34",parental leave,"AXP, US025816109 - American Express Increases Parental Leave and Family Benefits for U.S. Employees Beginning January 1, 2017 - 12-Dec-16 - BW.pdf"
"AXP, US025816109",American Express Launches National LGBTQ PRIDE Campaign to Express Love,21-Jun-16,BW,American Express,"Product/Service, Event","“American Express is proud to recognize and celebrate a landmark anniversary with a program that helps underscore the importance of diversity and inclusion in the communities where we live and work,” said Elizabeth Rutledge, executive vice president, Global Advertising and Media, American Express.",1,43,Diversity and Inclusion,"AXP, US025816109 - American Express Launches National LGBTQ PRIDE Campaign to Express Love - 21-Jun-16 - BW.pdf"
AXP,American Express launches new video series empowering next generation of female leaders,23-May-17,CNW,American Express Canada,"Economy, Business, Finance, Business (General), New Products, Joint Ventures, Licensing, Patents","American Express' Women at Amex  initiative, which is aimed at supporting the development and advancement of women in corporate Canada, continues to be a key strategic driver for the company's focus on gender diversity. In support of this initiative, Amex holds various opportunities to help employees reach their full potential, such as ongoing mentorship and sponsorship opportunities at all levels of the company. | About American Express Canada American Express is a global services company that provides customers with access to products, insights and experiences that enrich lives and build business success. The company provides innovative payment, travel and expense management solutions for individuals and businesses of all sizes. In Canada, American Express proudly employs over 1,600 Canadians, and is the recipient of the 2017 Canada's Best Diversity Employers award for its exceptional workplace diversity, inclusion programs and initiatives to support the career advancement for women.",2,"63, 82",diversity,AXP - American Express launches new video series empowering next generation of female leaders - 23-May-17 - CNW.pdf
AXP,American Express Recognized as One of Canada's Best Diversity Employers for Fourth Consecutive Year,6-Mar-19,CNW,American Express Canada,,"TORONTO, March 6, 2019 /CNW/ - American Express Canada is thrilled to announce that it has been named by Mediacorp Canada Inc.  as one of Canada's Best Diversity Employers for the fourth year in a row.  Amex was recognized for its commitment to the advancement and growth of women in the workplace and numerous colleague support networks that encourage diversity and inclusion. | In addition, Employee Resource Groups (Colleague Networks as they are referred to at Amex) play a fundamental role in American Express' Diversity and Inclusion strategy. There are currently 10 highly engaged Colleague Network Chapters at Amex Canada. They provide various development, leadership and engagement opportunities for their members while building on the company's inclusive culture. | American Express Recognized as One of Canada's Best Diversity Employers for Fourth Consecutive Year  Wednesday, March 06, 2019 01:00:00 PM (GMT) | ""At American Express, we are proud to be a leader for the advancement of women in the corporate world"" says Catherine Finley, Vice President of Human Resources at American Express Canada. ""By celebrating our colleagues' diversity and offering women a seat at the table, we empower them to drive progress and innovation.""",4,"62, 55, 21, 52","Diversity and Inclusion, diversity",AXP - American Express Recognized as One of Canada's Best Diversity Employers for Fourth Consecutive Year - 06-Mar-19 - CNW.pdf
AIG,"American International Group, Inc.(AIG",US) Schedules Q1 2018 Earnings Call for 3-May-2018 800 AM ET,26,,,,0,0,,"AIG - American International Group, Inc.(AIG-US) Schedules Q1 2018 Earnings Call for 3-May-2018 800 AM ET - 26-Mar-18 - FCSTEV.pdf"
AIG,"American International Group, Inc.(AIG",US) Schedules Q2 2019 Earnings Call for 8-August-2019 800 AM ET,26,,,,0,0,,"AIG - American International Group, Inc.(AIG-US) Schedules Q2 2019 Earnings Call for 8-August-2019 800 AM ET - 26-Jun-19 - FCSTEV.pdf"
APPCQ,Arbitrators order American Apparel to pay $3M to resolve sexual,harassment claims - WSJ - 09,Jun,,"Articles, Reports, Litigation, Media Summaries  Related Stories:","Arbitrators order American Apparel to pay $3M to resolve sexual-harassment claims - WSJ   Wednesday, June 10, 2015 03:20:50 AM (GMT)",1,20,sexual-harassment,APPCQ - Arbitrators order American Apparel to pay $3M to resolve sexual-harassment claims - WSJ - 09-Jun-15 - SA.pdf
"000660, 008770, 086790...",Barron's Summary,4-Nov-17,SA,,"Conjecture, Media Summaries, Barron's Summary, Published Reports","Sexual harassment needs to be seen as a serious investment risk. Companies that tolerate or cover up sexual harassment, perpetuate a culture that fosters it, or fail to provide avenues for employees to report concerns or incidents, could see their bottom lines take a hit from difficulties attracting and retaining talented employees, customer defections, or ruined deals. In addition, research from Morgan Stanley shows that companies with greater gender diversity, and policies that support it, tend to deliver better risk-adjusted stock returns (link).",1,83,sexual harassment,"000660, 008770, 086790... - Barron's Summary - 04-Nov-17 - SA.pdf"
AFL,Black Enterprise Names Aflac to Prestigious Diversity List,4-Jan-19,PRN,Aflac,"Corporate Social Responsibility, Human Interest Groups","""Aflac has long been a leader in the area of diversity and inclusion, and we are pleased that Black Enterprise has once again acknowledged our devotion to maintaining a fair workplace that focuses on community,"" Aflac Chairman and CEO Dan Amos  said. ""Our commitment to diversity makes us a stronger, more caring company, demonstrating our desire to build a workforce that represents our customers. At Aflac, diversity isn't just a business proposition; it is simply the right thing to do."" | Black Enterprise Names Aflac to Prestigious Diversity List   Friday, January 04, 2019 01:00:00 PM (GMT) | Leading African-American Publication Puts Aflac on 50 Best Companies for Diversity List for 12th Time | COLUMBUS, Ga., Jan. 4, 2019 /PRNewswire/ -- Aflac, the leader in voluntary insurance sales at U.S. worksites, is once again listed on Black Enterprise's 2018 prestigious list of the 50 Best Companies for Diversity. This marks the 12th time that Aflac has appeared on this annual list. | According to Black Enterprise, to compile the list, Black Enterprise's editorial research team, in partnership with the Executive Leadership Council, sends surveys to the nation's top 1,000 publicly traded companies to get an in-depth look at the ethnic and gender composition, as well as their programs designed to foster an inclusive working environment. The annual survey focuses on African-Americans but includes other ethnic minority groups as defined by the U.S. Census Bureau. Any information provided by companies on diversity efforts targeted toward women, LGBT, the disabled and veterans is used as secondary, supporting data. | names-aflac-to-prestigious-diversity-list-300772785.html",6,"80, 15, 15, 47, 94, 1","Diversity and Inclusion, diversity",AFL - Black Enterprise Names Aflac to Prestigious Diversity List - 04-Jan-19 - PRN.pdf
"GOOGL, GOOG",Cohen Milstein Files Lawsuit on Behalf of Alphabet Shareholders against Company Board,10-Jan-19,BW,Cohen Milstein Sellers & Toll PLLC,Lawsuit,"Alphabet, Inc. (GOOG, GOOGL) shareholders have filed a lawsuit against the Company’s Board of Directors alleging the tech giant violated state and federal law regarding both issues of workplace sexual harassment and a serious data breach. The Plaintiffs, Northern California Pipe Trades Pension Plan and Teamsters Local 272 Labor Management Pension Fund, are current stockholders of the Company and are represented by Cohen Milstein Sellers & Toll PLLC and Berman Tabacco, as local counsel. The complaint was filed January 9 in Superior Court, San Mateo County, California. | In the 62-page complaint, the shareholders seek redress from the injury and losses that they allege were sustained by Alphabet as a result of breaches of fiduciary duty and “culture of concealment” that led Defendants to pursue their own interests and participate or acquiesce in the cover-ups of a long-standing pattern of sexual harassment and discrimination by high-powered male executives. The complaint notes that Alphabet’s directors and officers have been dismissive in response to sex discrimination and sexual harassment issues.",2,"87, 80",sexual harassment,"GOOGL, GOOG - Cohen Milstein Files Lawsuit on Behalf of Alphabet Shareholders against Company Board - 10-Jan-19 - BW.pdf"
ALL,College of Wooster's Patrick Mohorcic Named the 2017 Allstate AFCA Good Works Team® Captain,4-Dec-17,PRN,Allstate Insurance Company,"Corporate Social Responsibility, Human Interest Groups","A senior and three-year starter on the  Wooster offensive line, Mohorcic earned a place on this year's Allstate AFCA Good Works Team® for his selfless commitment to a student organization called Men Working For Change. Though the group was established several years prior to Mohorcic's freshman year, it had been disbanded by the time he arrived on campus. Mohorcic played a significant role in revitalizing the group, which raises advocacy and awareness about ways to prevent sexual assault through seminars and other planned events on campus.",1,86,sexual assault,ALL - College of Wooster's Patrick Mohorcic Named the 2017 Allstate AFCA Good Works Team® Captain - 04-Dec-17 - PRN.pdf
"AFL, 00B1BR",Ethisphere Names Aflac Incorporated One of the World's Most Ethical Companies for 2020,25-Feb-20,PRN,Aflac Incorporated,Human Interest Groups,"About Aflac Incorporated Aflac Incorporated (NYSE: AFL) is a Fortune 500 company, helping provide protection to more than 50 million people through its subsidiaries in Japan and the U.S., where it is a leading supplemental insurer, by paying cash fast when policyholders get sick or injured. For more than six decades, insurance policies of Aflac Incorporated's subsidiaries have given policyholders the opportunity to focus on recovery, not financial stress. Aflac Life Insurance Japan is the leading provider of medical and cancer insurance in Japan, where it insures 1 in 4 households. Through its trailblazing One Day PaySM initiative in the United States, for eligible claims, Aflac can process, approve and electronically send funds to claimants for quick access to cash in just one business day. Fortune magazine recognized Aflac as one of the 100 Best Companies to Work for in America for 20 consecutive years. For 14 consecutive years, Aflac Incorporated has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender-Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out more about One Day PaySM and learn how to get help with expenses health insurance doesn't cover, get to know us at aflac.com. | According to Ethisphere, the World's Most Ethical Companies assessment is grounded in Ethisphere's proprietary Ethics Quotient®, a process that includes more than 200 questions on culture, environmental and social practices, ethics and compliance activities, governance, diversity and initiatives to support a strong value chain. The process serves as an operating framework to capture and codify the leading practices of organizations across industries and around the globe. | In 2019, Aflac reached significant corporate social responsibility (CSR) milestones, including surpassing $140 million in contributions to the treatment and research of childhood cancer. The company also delivered more than 6,200 My Special Aflac Ducks®, robotic caring companions designed to help children and families facing childhood cancer, free of charge, to children across the United States and Japan. The company was also recently named to Bloomberg's 2019 Gender-Equality Index.",3,"236, 66, 69","gender-equality, gender equality, diversity","AFL, 00B1BR - Ethisphere Names Aflac Incorporated One of the World's Most Ethical Companies for 2020 - 25-Feb-20 - PRN.pdf"
AFL,Ethisphere Says Aflac is a World's Most Ethical Company for 11th Time,13-Mar-17,PRN,Aflac,Human Interest Groups,"""Over the last eleven years, we have seen the shift in societal expectations, constant redefinition of laws and regulations, and the geopolitical climate. We have also seen how companies like Aflac, which has been honored as a World's Most Ethical Company every year since we created this distinction, respond to these challenges. They invest in their local communities around the world, embrace strategies of diversity and inclusion, and focus on long-termism as a sustainable business advantage,"" explained Ethisphere's Chief Executive Officer, Timothy Erblich. ""Congratulations to everyone at Aflac for being recognized as a World's Most Ethical Company once again.""",1,99,Diversity and Inclusion,AFL - Ethisphere Says Aflac is a World's Most Ethical Company for 11th Time - 13-Mar-17 - PRN.pdf
AMZN,IMDbPro Launches Android App for Entertainment Professionals,22-Aug-18,BW,IMDbPro,"Product/Service, Photo/Multimedia","The IMDbPro App Now Features Tap-to-Call Access to Resources Including the Women In Film Sexual Harassment Help Line and the U.S. Equal Employment Opportunity Commission (EEOC) | IMDbPro (www.imdbpro.com), the essential resource for entertainment industry professionals, today announced the launch of its first-ever Android app in the Google Play Store. The IMDbPro app, now available for both iPhone and Android, also includes contact information and tap-to-call capability for resources including the Women In Film Sexual Harassment Help Line and the U.S. Equal Employment Opportunity Commission (EEOC). | The addition of contact information for resources including the Women In Film Sexual Harassment Help Line and the U.S. Equal Employment Opportunity Commission (EEOC) supports industry efforts to work toward professional conduct and gender parity, including a recently announced collaboration between IMDbPro and ReFrame — a coalition of industry professionals and partner companies founded by Women In Film and",3,"26, 59, 59",sexual harassment,AMZN - IMDbPro Launches Android App for Entertainment Professionals - 22-Aug-18 - BW.pdf
AAL,Kerry Philipovitch Announces Retirement American Airlines Realigns Operations and Commercial Leadership Teams,10-Oct-19,PMZ,,"Company Announcement, Directors and Officers","“Kerry is one of the very best leaders I have had the privilege of working with,” said American Airlines President Robert Isom. “She is a great advisor, consummate team player and champion of those we serve inside and outside the company. She led the industry’s largest reservations system cutover and has been at the helm of numerous efficiency projects critical to our integration. American is far better because of Kerry’s contributions, including her work to promote passengers’ rights, support our diversity and inclusion initiatives, and launch innovative customer service training for team members. We will miss her, but Kerry has more than earned the right to do what is best for her and her family. Thankfully she has trained a stellar group of leaders who will carry on her legacy to drive operational excellence with the utmost care for our team.” | Vasu Raja  has been with American for 15 years and has worked in Sales, Corporate Planning, Revenue Management and Network Planning and Analysis. He holds a bachelor’s degree from The University of Texas at Austin, a master’s degree in teaching from Johns Hopkins University and an MBA from Georgetown University. Raja began his career with Teach for America in 1999, and was named one of the Top 50 Executives under 50 by Diversity MBA Magazine in 2013.",2,"141, 77","Diversity and Inclusion, diversity",AAL - Kerry Philipovitch Announces Retirement American Airlines Realigns Operations and Commercial Leadership Teams - 10-Oct-19 - PMZ.pdf
AMZN,"Little A, the Literary Fiction and Nonfiction Imprint of Amazon Publishing, To Publish U.S. Congresswoman and Jonestown Massacre Survivor J...",23-Aug-18,BW,"Amazon.com, Inc.","Product/Service, Photo/Multimedia","In 1978, 28-year-old Jackie Speier was a Congressional legal advisor and was part of the fateful delegation to investigate cult leader Jim Jones and the Peoples Temple in Jonestown, Guyana. As the delegation was helping victims escape, Jackie was shot five times at point-blank range. Her harrowing recovery inspired her to trailblaze a path working in the public service, eventually winning her own Congressional seat in 2008. A passionate champion for women’s and children’s rights, Speier was the first member of Congress to advocate for reforms to end the epidemic of sexual assault in the military and on college campuses, earning her a spot on Newsweek ’s list of 150 “Fearless Women” in the world. In November 2017, Congresswoman Speier co-authored the ME TOO Congress Act to overhaul how sexual harassment and assault are reported and mediated on Capitol Hill. Undaunted shares the personal struggles—as a widow, a mother, and an outspoken victim of gun violence —that have shaped Congresswoman Speier’s unwavering dedication to her constituents and to fighting waste, fraud, abuse and corruption.",1,174,sexual harassment,"AMZN - Little A, the Literary Fiction and Nonfiction Imprint of Amazon Publishing, To Publish U.S. Congresswoman and Jonestown Massacre Survivor J... - 23-Aug-18 - BW.pdf"
MPC,Marathon Petroleum Corp.(MPC,US) Schedules Q2 2020 Earnings Call for 3-August-2020 930 AM ET,12,,,,0,0,,MPC - Marathon Petroleum Corp.(MPC-US) Schedules Q2 2020 Earnings Call for 3-August-2020 930 AM ET - 12-Jun-20 - FCSTEV.pdf
ADBE,Media Alert Adobe Poised to Achieve Pay Parity in U.S. and India,7-Sep-17,BW,Adobe,Conference,"“This is an exciting milestone in our journey to make Adobe a leader in diversity and inclusion. Fair pay and equal treatment aren’t just the right thing to do; they also have a significant, positive impact on the business bottom line. We will continue to push for full pay parity globally,” said Donna Morris, executive vice president, Customer & Employee Experience, Adobe.",1,62,Diversity and Inclusion,ADBE - Media Alert Adobe Poised to Achieve Pay Parity in U.S. and India - 07-Sep-17 - BW.pdf
ADBE,Media Alert Adobe Releases Diversity Pay Data for U.S. Workforce,25-Jul-16,BW,Adobe,"Advisory, Survey","Adobe’s diversity and inclusion website | Media Alert: Adobe Releases Diversity Pay Data for U.S. Workforce  Monday, July 25, 2016 08:10:00 PM (GMT)",2,"5, 17","Diversity and Inclusion, diversity",ADBE - Media Alert Adobe Releases Diversity Pay Data for U.S. Workforce - 25-Jul-16 - BW.pdf
ALL,NEW POLL Americans See Progress in a Closing Gender Gap Women and Men Willingly Make Trade,Offs to Balance Work and Family Life - 16-Mar,12,Allstate Corporation,Human Interest Groups,"NEW POLL: Americans See Progress in a Closing Gender Gap; Women and Men Willingly Make Trade-Offs to Balance Work and Family Life  Friday, March 16, 2012 12:00:00 PM (GMT) | The 12th quarterly Allstate-National Journal  Heartland Monitor Poll explored the attitudes and experiences of men and women in their home, family and professional lives. More than half (56%) of American men and women consider gender diversity to have a positive impact on the economic health of the country, and 36% of men and 39% of women cite ""a flexible work schedule to pursue outside interests and spend time with your family"" as their first or second most important reason for working. | ""This poll shows that belief in the American dream remains strong notwithstanding our economic challenges,"" said Thomas J. Wilson, chairman, chief executive officer and president of Allstate. ""Americans once again show their ability to have a sophisticated conversation around complicated issues such as gender, economics or race. Americans understand, as does Allstate, that diversity is a part of the American dream. They acknowledge that gains have been made in creating opportunity for women but that more can be done.""",3,"29, 81, 79","gender gap, diversity",ALL - NEW POLL Americans See Progress in a Closing Gender Gap Women and Men Willingly Make Trade-Offs to Balance Work and Family Life - 16-Mar-12 - PRN.pdf
"AAL, AAPL, AMZN...",New York Times Sunday Edition Summary,10-Nov-19,SA,,"Media Summaries, Sunday NYT Summary","Tech firms don't do enough to prevent proliferation of child sexual abuse imagery | Tech companies ban child sexual abuse imagery from their platforms, but search engines, social networks, and cloud storage are rife with gaps for criminals to result. For victims, the trauma of constantly recirculating photos and videos can be devastating. Companies mentioned: GOOGL, DBX, MSFT, FB, AMZN, AAPL, SNAP",2,"13, 48",sexual abuse,"AAL, AAPL, AMZN... - New York Times Sunday Edition Summary - 10-Nov-19 - SA.pdf"
"AMZN, F, GE...",New York Times Sunday Edition Summary,18-Jun-17,SA,,"Media Summaries, Sunday NYT Summary","Mistrial declared in Cosby sexual assault case | The judge presiding over Bill Cosby's sexual assault trial declared a mistrial Saturday after jurors reported being hopelessly deadlocked after six days of deliberations, bringing an ambiguous conclusion to this phase of the case. The outcome denied vindication to either the defendant or the dozens of women who have accused Cosby of assaulting them over a decades-long period. District Attorney Kevin Steele of Montgomery County in Pennsylvania immediately vowed to put Cosby on trial again.",2,"7, 75",sexual assault,"AMZN, F, GE... - New York Times Sunday Edition Summary - 18-Jun-17 - SA.pdf"
"AMZN, TFCFA",New York Times Sunday Edition Summary,22-Oct-17,SA,,"Media Summaries, Sunday NYT Summary","In January, Fox News host Bill O'Reilly struck a $32M agreement with a former network analyst to settle new sexual harassment allegations, sources say. Although the deal has not previously been made public, parent company 21st Century Fox (FOXA) acknowledges that it was aware of the woman's complaints about O'Reilly. Despite the record of allegations against O'Reilly, in February 21st Century Fox granted him a four-year extension that paid $25M a year.",1,72,sexual harassment,"AMZN, TFCFA - New York Times Sunday Edition Summary - 22-Oct-17 - SA.pdf"
"FB, GOOGL",New York Times Sunday Edition Summary,14-Jul-19,SA,,"Media Summaries, Sunday NYT Summary","Since being accused of sexually abusing girls as young as 14 a decade ago, alleged sex trafficker Jefferey Epstein has carried out a social campaign to preserve his reputation as a financier, philanthropist, and thinker. As the scope of Epstein's alleged offenses became clearer over the past week, so has the story of his social circles and how some powerful people were willing to give a pass to a man convicted of a crime involving a minor.",1,77,sexually abusing,"FB, GOOGL - New York Times Sunday Edition Summary - 14-Jul-19 - SA.pdf"
"TFCFA, GOOGL",New York Times Sunday Edition Summary,24-Jul-16,SA,,"Media Summaries, Sunday NYT Summary","At Fox News, sexual harassment claims extend beyond Roger Ailes",1,10,sexual harassment,"TFCFA, GOOGL - New York Times Sunday Edition Summary - 24-Jul-16 - SA.pdf"
"AXP, WPP",Ogilvy Salutes National Hispanic Heritage Month With Fourth Annual La Feria,4-Oct-12,PRN,Ogilvy & Mather,Human Interest Groups,"""The annual La Feria at Ogilvy & Mather New York is one of the most anticipated events hosted by our employee networks during the year, recreating the actual ""fair"" experience in our own offices,""   said Donna Pedro, Chief Diversity Officer at Ogilvy & Mather North America.  ""I am extremely proud of what our growing Ogilvy LatinRed team has accomplished over the past four years."" | About LatinRed and Professional Networks @ Ogilvy  LatinRed is part of the Ogilvy Diversity Council's (ODC) Professional Networks, a set of employee resource groups enabling active participation to support Ogilvy's Diversity & Inclusion Strategy.  Now in its fourth year,  in addition to LatinRed, the ODC also consists of RedLotus (Asian Community), Black Diaspora (Black Community), Ogilvy Pride (LGBT Community), Ogilvy Doonya (Muslim Community), Working Parents, Administrative Professionals, Young Professionals, and Women's Leadership Network. The Professional Networks provide a formal link between diverse employee groups, clients, the community and senior management. This past year, Ogilvy introduced OgilvyCULTUR a cross-culture strategic communications practice within the organization that embodies all of the professional networks. Further, giving each its own unique voice, it offers employees a chance to deepen their engagement and grow both within and for the organization. | Ogilvy clients in attendance include: American Express, The Coca Cola Company, Ikea, Unilever, Ink48, and affinity groups such as VIACOM, CNN, UPS, PSE&G, HISPA, Ogilvy Diversity Advisory Board, among others.",3,"64, 135, 30","Chief Diversity Officer, Diversity & Inclusion, diversity","AXP, WPP - Ogilvy Salutes National Hispanic Heritage Month With Fourth Annual La Feria - 04-Oct-12 - PRN.pdf"
AFL,Points of Light Names Aflac One of the 50 Most Community,Minded Companies in the US - 17-Jun,19,Aflac,"Corporate Social Responsibility, Human Interest Groups","""As a business, Aflac has enjoyed tremendous success for more than six decades, serving our customers in their times of need and providing significant returns for our shareholders,"" Aflac Chairman and CEO Dan Amos said. ""It is no coincidence that we have also prioritized community. Whether through our commitment to childhood cancer research and treatment, enabling our employees to work with Habitat for Humanity to build homes, or our keen commitment to diversity and inclusion, our employees' desire to make a difference inside and outside of the office has created an environment inspiring Points of Light to provide us with this recognition. Our community-driven culture has had an incredible impact on our business and our continued success.""",1,117,Diversity and Inclusion,AFL - Points of Light Names Aflac One of the 50 Most Community-Minded Companies in the US - 17-Jun-19 - PRN.pdf
"AXP, 063PWF",Preserving Diverse History from Coast to Coast American Express and National Trust for Historic Preservation to Award $2 Million in...,24-Sep-18,BW,American Express,"Contract/Agreement, Corporate Social Responsibility, Product/Service, Photo/Multimedia","“At American Express, diversity and inclusion are at the heart of our culture,” said Richard Brown, vice president of philanthropy, American Express. “We’re thrilled to unite our long-standing commitment to historic preservation and the Shop Small® movement to celebrate the histories of the diverse communities and cultures that have shaped and continue to enrich our Main Streets.” | 20 Sites Reflecting Americans’ Diversity and Equal Rights Journey Vie for Funding During Partners in Preservation Campaign | American Express (NYSE:AXP) and The National Trust for Historic Preservation, in collaboration with Main Street America, announced today that their annual Partners in Preservation campaign is headed back to Main Street with a focus on sites that celebrate diversity and the fight for equality.",3,"57, 17, 44","Diversity and Inclusion, diversity","AXP, 063PWF - Preserving Diverse History from Coast to Coast American Express and National Trust for Historic Preservation to Award $2 Million in... - 24-Sep-18 - BW.pdf"
"00G79P, AXP","Resy Expands Brand Programming with Reveal of 2020 Events Lineup Featuring Konbi, Asma Khan, Danny Bowien, Renee Erickson, and More...",22-Jan-20,PRN,"Resy, Inc.","Corporate Development, New Products & Services, Human Interest Groups","Since launching events in 2017, Resy has collaborated with Dave Chang, Dominique Crenn, Sean Brock, Curtis Stone, Missy Robbins, and countless more to give diners a front-row-seat to top culinary talent. At The Franks' Backyard Chef Series , hosted by Frank Falcinelli and Frank Castronovo, guests have mingled with internationally acclaimed chefs (Enrique Olvera, Iñaki Aizpitarte,  Lee Tiernan) as they prepare interpretations of cookout fare; at one of Danny Bowien's Secret Special  dinners, guests were treated to a surprise performance by rock band Saves The Day, with Bowien jumping out of the kitchen and into the musical set; in kitchens around the country, the leading ladies of the restaurant world used Resy's Women Of Food platform to speak out against gender inequality in the industry and strengthen the #womenoffood community; Resy hit the road with New York Times  bestselling cookbook author  Alison Roman to power her 7-city Nothing Fancy  cookbook tour at restaurants around the country; and in its inaugural year, Resy's roving Off Menu Week dining program traversed the country, bringing 50,000+ diners in to participating restaurants.",1,178,gender inequality,"00G79P, AXP - Resy Expands Brand Programming with Reveal of 2020 Events Lineup Featuring Konbi, Asma Khan, Danny Bowien, Renee Erickson, and More... - 22-Jan-20 - PRN.pdf"
GOOGL,Shareholder files lawsuit claiming Alphabet board played direct role in covering up sexual misconduct claims,Reuters - 10-Jan,19,,"Activism, 13D/13F/13G filings, Articles, Reports, Litigation, Media Summaries, Ownership","Shareholder files lawsuit claiming Alphabet board played direct role in covering up sexual misconduct claims - Reuters  Thursday, January 10, 2019 10:23:02 PM (GMT) | The lawsuit, filed in t in San Mateo County Superior Court in California by shareholder James Martin, claims the board played a direct role in covering up sexual misconduct claims against two top executives in 2014 and 2016",2,"24, 38",sexual misconduct,GOOGL - Shareholder files lawsuit claiming Alphabet board played direct role in covering up sexual misconduct claims - Reuters - 10-Jan-19 - SA.pdf
"175, BABA, BATS...",StreetAccount Summary The Economist print edition,13-Sep-18,SA,,"Media Summaries, Economist Summary","On 9-Sep Les Moonves was ousted as chairman and CEO of CBS (CBS) after the  New Yorker reported allegations that he sexually assaulted or harassed six women in incidents dating from the 1980s to the early 2000s. Moonves had been feuding with Shari Redstone over her desire to recombine CBS with Viacom (VIAB), and now Redstone's grip on the company could hardly be more secure. On 9-Sep the CBS board named six new directors, tilting the majority in favor of Redstone. While Redstone agreed not to initiate a merger for two years in order to drop litigation seeking to dilute her family's control, nothing prevents the new board from initiating a merger with Viacom.",1,114,sexually assaulted,"175, BABA, BATS... - StreetAccount Summary The Economist print edition - 13-Sep-18 - SA.pdf"
"6178, 7181, 7182...",StreetAccount Summary The Economist print edition,13-Dec-18,SA,,"Media Summaries, Economist Summary","Vice Media ( +VICE), along with other formerly popular digital media properties, is on a losing streak, as Google and Facebook crush all competitors in the digital advertising marketplace. Vice is losing money, and has been beset with allegations of sexual harassment and reports of a misogynistic culture. Yet the company believes it is diversified enough beyond digital advertising to avoid the fate of its peers. Vice needs to convert its brand into content and advertising for which customers will pay a premium.",1,83,sexual harassment,"6178, 7181, 7182... - StreetAccount Summary The Economist print edition - 13-Dec-18 - SA.pdf"
"AAPL, AMZN, BRK.B...",StreetAccount Summary The Economist print edition,1-Feb-18,SA,,"Media Summaries, Economist Summary","On 26-Jan WSJ published an investigation detailing several allegations that amount to a decades-long spree of sexual misconduct by Wynn Resorts (WYNN) CEO Steve Wynn. The company's board has appointed a special committee to investigate the reports, the accuracy of which Wynn denies. Wynn's control over Wynn Resorts is near-absolute, and the outcome of the inquiry may significantly impact the business.",1,61,sexual misconduct,"AAPL, AMZN, BRK.B... - StreetAccount Summary The Economist print edition - 01-Feb-18 - SA.pdf"
"AMZN, ASRT, DLAR...",StreetAccount Summary The Economist print edition,6-Apr-17,SA,,"News - US, Media Summaries, Economist Summary","Around 50 big companies pulled advertising from Bill O'Reilly's program ""The O'Reilly Factor"" this week, after the New York Times revealed a history of sexual harassment accusations against the Fox News anchor. All eyes are now 21st Century Fox (FOXA) Chairman Rupert Murdoch, who must decide whether to keep or oust the network's greatest asset. The company has supported O'Reilly in an initial statement.",1,64,sexual harassment,"AMZN, ASRT, DLAR... - StreetAccount Summary The Economist print edition - 06-Apr-17 - SA.pdf"
AXP,"Success, equality and drive how millennial women are shaping the workplace for a better future",1-Nov-18,CNW,American Express Canada,,"""While women do more to support other women, there still remains an untapped opportunity for men to do more to further equality and progress in the workplace,"" said Tanya van Biesen, Executive Director, Catalyst Canada. ""Gender inequality in corporate Canada is not a women's issue, it's a critical talent issue, and finding a resolution requires intentional leadership from both women and men. It's encouraging to see how far",1,68,gender inequality,"AXP - Success, equality and drive how millennial women are shaping the workplace for a better future - 01-Nov-18 - CNW.pdf"
