who wrote the piece,subject,relevant_text,paragraphs,words,keywords,path
Verizon,"Corporate Social Responsibility, Licensing & Marketing Agreements","The drive will be the second annual HopeLine Cell Phone Drive in observance of Domestic Violence Awareness Month to benefit Coburn Place Safe Haven, an Indianapolis organization that has growing waiting lists for families in need of transitional housing. The Colts and HopeLine from Verizon pledged $10,000. | Wireless phones given to HopeLine are recycled and refurbished with grants generated for local non-profit domestic violence prevention organizations. New phones – complete with 3,000 minutes of wireless service and text-messaging service – are provided to local domestic violence agencies or local government and law enforcement agencies for use with their domestic violence clients. | ""Verizon relies on the generosity of Hoosiers, Colts fans and other supporters during Domestic Violence Awareness Month to extend our HopeLine grants to Indiana nonprofits,"" said Lauren Love-Wright, Verizon region president for Indiana. ""In the past year, we've been able to provide nearly $180,000 in support for groups that support survivors of domestic violence."" | Fans are also encouraged to show support for the Colts Gameday Collection Program and Domestic Violence Awareness by utilizing social media. Fans may tag @HopeLineVerizon on Twitter, @ColtsCommunity on Twitter and Instagram or 'Colts in the Community' on Facebook with the hashtag #VZHopeLineIN. Additional information is available at www.colts.com/Hopeline. | The vision of  Coburn Place Safe Haven is of a world where every adult and child may live free from intimate partner violence, housed stably and safely, with adequate financial resources. It aims to make that vision reality through its mission of empowering victims of intimate partner violence to live as survivors. Coburn Place is Indianapolis' largest and most comprehensive provider of transitional housing to victims of domestic violence in the state of Indiana and is a nationally-recognized model program in breaking the cycles of domestic violence, poverty and homelessness. The organization has provided life-changing support to more than 1,600 adults and children since 1996. | HopeLine® from Verizon puts our technology and the nation's most reliable and largest wireless network to work in the community by turning no-longer-used wireless phones and accessories into support for domestic violence victims and survivors. It also helps protect the environment by disposing of wireless phones in an environmentally sound way.",6,"47, 54, 54, 49, 105, 51",domestic violence,VZ - Colts To Host Hopeline From Verizon Cell Phone Collection - 13-Oct-15 - PRN.pdf
Verizon,Human Interest Groups,"NEW YORK , Aug. 30, 2011 /PRNewswire/ -- Verizon has earned the No. 8 ranking in the LATINA Style 50, LATINA Style magazine's annual list of the best companies for Latinas to work for in the U.S. This is the ninth consecutive year that the company's commitment to diversity and inclusion has been recognized by the publication. | ""Globally, women are continuing to break through the traditional gender barriers in business,"" said  Magda Yrizarry, Verizon's chief talent and diversity officer.  ""In today's global and competitive environment, an inclusive corporate culture that maximizes the talents and ideas of women is essential to providing the innovative products and services our customers want. We're honored to once again have our commitment to diversity and inclusion recognized by LATINA Style magazine."" ",2,"57, 69",Diversity and Inclusion,"VZ - For Ninth Consecutive Year, Verizon Named to LATINA Style Magazine's List of Best Companies for Latinas to Work - 30-Aug-11 - PRN.pdf"
Verizon,Human Interest Groups,"NEW YORK , Sept. 6, 2012 /PRNewswire/ -- For the 10th consecutive year, Verizon has been named to the Latina Style 50, LATINA Style magazine's annual list of the best companies for Latinas to work for in the U.S. Verizon's strong commitment to diversity and inclusion earned the company the No. 3 rating on the list, up from No. 8 in 2011. | ""We take pride in our commitment to removing barriers to success and leveraging the outstanding talents and contributions of Latinas,"" said Magda Yrizarry , Verizon's chief talent and diversity officer, and one of the company's Latina leaders. ""Latinas hold prominent positions at Verizon, such as regional president, vice president - marketing, vice president - customer service, area vice president - enterprise sales, and assistant general counsels, to name a few. We're honored to once again have our commitment to diversity and inclusion recognized by LATINA Style magazine.""",2,"62, 87",Diversity and Inclusion,"VZ - For Tenth Consecutive Year, Verizon Named to the LATINA Style 50 List - 06-Sep-12 - PRN.pdf"
Verizon,"Corporate Social Responsibility, Human Interest Groups","Ted Bunch, co-founder of A CALL TO MEN, leading national men's organization addressing domestic and sexual violence prevention and the promotion of healthy manhood, said: ""Teens are an exceptionally vulnerable group, bombarded with media, advertising and other cultural influences that reinforce disrespect.  At Training Camps for Life, we help teens to break these things down so they can respect themselves and others, and reduce teen relationship violence.""  | A CALL TO MEN is a leading national men's organization addressing domestic and sexual violence prevention and the promotion of healthy manhood.  For more information, visit www.acalltomen.org.  | The 900 students attending the event were encouraged to ""take the pledge"" by committing to four steps, including treating people with dignity at all times and speaking out about violence. According to the Centers for Disease Control and Prevention, one in four adolescents is physically, emotionally, mentally or sexually abused by a significant other each year. | Partnering with the on the Training Camps for Life program is part of the Verizon Foundation's strategy to engage men in helping end domestic violence. ",4,"67, 27, 56, 25","sexual violence, sexually abused, domestic violence",VZ - Gary Brackett and David Caldwell of the Indianapolis Colts Join Verizon's LIVERESPECT Pledge - 31-Jan-12 - PRN.pdf
ID Media,,"ID Media is an Interpublic Group media agency known for identifying and delivering accountable media solutions that create better business outcomes for marketers. Backed by a culture that's deeply accountable for results, our people drive costs down, engagement up across television, digital and print channels. We work with many leading brands, including American Express, Nationwide, Verizon, Johnson & Johnson, Intuit, Nikon and Match.com. ID Media is also a five-time winner of IPG awards for diversity and inclusion, and has been recognized by Crain's as one of its ""Best Places to Work in NYC"" in 2008, 2009, 2010 and 2011. For more information, visit http://www.idmediaww.com.",1,104,Diversity and Inclusion,"VZ - ID Media Hires Laurie Larson, Former Verizon Client, as SVP, Director of Media Strategy - 13-Aug-12 - PRN.pdf"
Verizon,"Corporate Social Responsibility, Human Interest Groups, Public Safety","The YWCA of Metropolitan Detroit's  $10,000 grant is funding domestic violence training for more than 400 Detroit Police officers during a two-day training event in November. Mark Wynn, a retired police officer and internationally renowned domestic violence prevention expert, will lead the sessions. Wynn has performed training in all 50 states and more than 10 countries to train thousands of police executives, patrol officers, dispatchers, prosecutors, judges, legislators, health care professionals and advocates on domestic violence, sexual assault and child abuse prevention. In addition to his educational career, Wynn, who is a survivor himself, has served as an advisor to state, national and international leaders to help guide and shape law and policy on this important issue and helped form the largest police domestic violence investigative unit in the United States. | ""Rally For Hope"" with Detroit Police Department, Deputy Mayor Ike McKinnon, MSU Coach Tom Izzo, Detroit Lions Running Back Ameer Abdullah, Community and Business Leaders, Raises Awareness of Domestic Violence  Tuesday, September 29, 2015 06:00:00 PM (GMT) | SOUTHFIELD, Mich., Sept. 29, 2015 /PRNewswire/ -- Verizon, along with the City of Detroit's Deputy Mayor Ike McKinnon, the Detroit Police Department, Michigan State University Men's Basketball Coach Tom Izzo, Detroit Lions Running Back Ameer Abdullah and representatives from YWCA of Metropolitan Detroit, Jewish Women International and American Axle & Manufacturing, gathered together at Campus Martius Park in Detroit on Tuesday, Sept. 29 for the first ever Rally For Hope. The event served as a kick-off for the month- long HopeLine Drive in October, in which the public is invited to help Verizon reach 1 million phone donations for domestic violence education and prevention. In addition, Verizon announced that nine Michigan domestic violence agencies will receive a combined total of more than $100,000 in HopeLine from Verizon grant money -- including a grant through the YWCA of Metropolitan Detroit to provide domestic violence training to the Detroit Police Department in November. | ""Domestic violence impacts our families, our friends, our coworkers and our community -- one in three women, one in four men and more than 3 million children in the United States are hurt by it,"" said Aimee Novak, Verizon's Director of Strategic Sales, who spoke on behalf of the company at the Rally. ""We encourage the public to join us in raising awareness and helping us reach 1 million donated phones by the end of 2015. This is an incredible opportunity to band together to make a real difference in the lives of domestic violence survivors by raising awareness and providing support and education through the donation of no-longer-used phones."" ""Domestic violence is a nuanced and complex problem, and the  Detroit Police Department is dedicated to learning as much as we can about its causes, how to prevent it and how to identify and protect community members experiencing it,"" said Detroit Police Chief  James Craig. ""This training will help us do that, and will ensure we are optimally working with our community and municipal leaders to provide the best possible care, support and protection to the citizens of Detroit."" ""I am encouraging not only MSU fans, students, alumni and staff, but also the entire state of Michigan, to join me in supporting the statewide HopeLine drive launching today,"" said Michigan State University Basketball Coach Tom Izzo. ""And for fans attending the  October 24 MSU football game versus Indiana, you can make a fast and important difference by bringing your no-longer-used phones and accessories to donate to Verizon and MSU Safe Place volunteers at the entrance gates."" ""The City of Detroit has an energy and a passion unlike any other. Today we ask you to harness that passion and come together to support survivors of domestic violence through HopeLine from Verizon,"" said Detroit Lions Running Back Ameer Abdullah.  ""It's simple -- all it takes is cleaning out your junk drawers at home and dropping off your no-longer-used phones, in any condition and from any carrier, at any Verizon retail store."" ""American Axle & Manufacturing is proud to once again partner with Verizon to support and empower survivors of domestic violence through the HopeLine from Verizon program,"" said American Axle & Manufacturing Director of Marketing and Communications Chris Son. ""This drive will help to make sure that survivors have the resources and help they need at their most critical hour and that the community's attention is drawn to this widespread issue."" ""Each year, YWCA's Interim House staff and volunteers handle nearly 5,000 crisis calls. Additionally, nearly 1,600 women and children are admitted to the YWCA Interim House program for an average stay of 65 days -- and our shelter has been at capacity for more than six months,"" said Emma Peterson, President and CEO of YWCA of Metropolitan Detroit . ""By supporting the only domestic violence shelter in the city of Detroit, which offers programs like our 24-hour crisis help line, shelter, counseling, support groups, victim advocacy, childcare services and more, this $30,000 HopeLine from Verizon grant will be an incredible source of relief and strength for our survivors in Detroit."" ""Jewish Women International is committed to protecting the fundamental rights of all girls and women to live in safe homes, thrive in healthy relationships and realize the full potential of their personal strength,"" said Lori Weinstein, CEO and Executive Director of Jewish Women International . ""We are grateful to have the opportunity to partner with the YWCA of Metropolitan Detroit through the HopeLine from Verizon program to ensure that Detroit's women and children have safe access to necessary resources."" ""As someone who grew up in a home that could erupt violently at any point, I know how critical it is to provide a lifeline to women and children who are impacted by domestic violence,"" said Congresswoman Debbie Dingell (MI-12). ""This HopeLine funding from Verizon will ensure organizations in my district and throughout the State of Michigan can continue to give hope to survivors and provide life-saving services and support systems for women and children in need."" | In conjunction with announcing the month-long HopeLine Drive, Verizon also announced at the Rally For Hope that the following Michigan-based domestic violence agencies are receiving a combined total of $100,000 in HopeLine from Verizon grant money: | HopeLine offers the public an opportunity to help prevent domestic violence by donating no-longer-used wireless phones and accessories in any condition from any carrier. Wireless phones given to HopeLine are refurbished and recycled in an environmentally sound way generating proceeds going toward financial support of domestic violence awareness and prevention programs. Verizon also donates phones through HopeLine – complete with service – to local domestic violence agencies or law enforcement agencies for use by domestic violence survivors. To participate, the public can take any old, no-longer-used phone or accessory to any Verizon retail location.  | Since 2001, more than 11.4 million phones have been collected nationwide, more than $29 million cash grants have been provided to domestic violence organizations and more than 190,000 phones have been donated to domestic violence survivors. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/rally-for-hope- with-detroit-police-department-deputy-mayor-ike-mckinnon-msu-coach-tom-izzo-detroit-lions-running-back- ameer-abdullah-community-and-business-leaders-raises-awareness-of-domestic-violence-300150908.html",8,"131, 37, 151, 675, 36, 94, 36, 12","domestic-violence, domestic violence, sexual assault","VZ - Rally For Hope with Detroit Police Department, Deputy Mayor Ike McKinnon, MSU Coach Tom Izzo, Detroit Lions Running Back Ameer Abdullah, C... - 29-Sep-15 - PRN.pdf"
Verizon Wireless,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","The South Dakota Network Against Family Violence and Sexual Assault and The Compass Center Partner With Verizon to Educate Youth on Domestic Violence, Bullying  Monday, December 19, 2011 05:00:00 PM (GMT) | PIERRE, S.D., Dec. 19, 2011 /PRNewswire/ -- According to a national survey, 57% of teens know someone who has been physically, sexually or verbally abusive in a dating relationship.* Now, South Dakota school children will receive information and resources on what to do if they or a friend is experiencing domestic violence, dating violence and bullying thanks to the partnership between Verizon and the South Dakota Network Against Family Violence and Sexual Assault (The Network) and The Compass Center in Sioux Falls. Attorney General  Marty J. Jackley announced the grants of $20,000 to The Network and $10,000 to The Compass Center from the Verizon Foundation, the philanthropic arm of Verizon, at a ceremony today. | **Partner agencies for The South Dakota Network Against Family Violence and Sexual Assault Grant implementation: | About The South Dakota Network Against Family Violence and Sexual Assault | The Network's vision is for collaborating with allies across the state to eliminate family violence and sexual assault in South Dakota. Since 1991, the Network has partnered with shelters and crisis centers in the state to provide valuable services and funding for victim services. In 2010, the Network member agencies provided crisis counseling, shelter services, advocacy and support, and other resources and assistance for 11,734 females, 3,439 males; 5,405 were children. Many children accompany their mothers to stay in shelter to flee violence in their home. For more information, visit www.sdnafvsa.com. | The Compass Center, formerly known as The Rape and Domestic Abuse Center, and first known as Citizens Against Rape, was established in the Sioux Falls Community in 1976 as part of a grassroots effort to address the problem of rape and domestic violence. The goal of the organization is to reduce the incidence of rape and domestic violence in our rapidly growing region. The Compass Center is a non profit 501(c) 3 organization that offers many programs to help individuals with counseling and advocacy related to rape, sexual assault and domestic violence in their lives. For more information, visit www.thecompasscenter.org. | The grant to The Network builds upon a  $13,750 grant from the Verizon Foundation in 2010 for a teen education campaign in South Dakota. The Network has 20 partner agencies** that work in their communities in collaboration with local law enforcement, and school districts both public, private and tribal to reach teen and pre-teen school children. The curriculum covers teen dating violence, bullying and domestic violence. | Domestic violence prevention and education are a corporate cause of Verizon. ""One of the best ways to prevent teen dating violence, bullying and ultimately domestic violence, is to educate our youth about healthy relationships and what resources are available to help address any problems they, or their friends, may be having,"" said Seamus Hyland, president–Great Plains Region, Verizon Wireless. ""These educational efforts are important for the communities we serve, for our customers, employees and their families."" | The Verizon Foundation uses its technology, financial resources and partnerships to address critical social issues, with a focus on education and domestic violence prevention. In 2010, the foundation awarded nearly $67 million to nonprofit agencies in the U.S. and abroad. Through Verizon Volunteers, one of the nation's largest employee volunteer programs, Verizon employees and retirees have volunteered nearly 6 million hours million hours of community service since 2000. For more information on the foundation, visit www.verizonfoundation.org. | In addition, Verizon Wireless supports domestic violence agencies around the country through the HopeLine® phone recycling and reuse program. Since 2001, HopeLine has collected more than 8 million phones; awarded more than $10 million in cash grants to prevention and awareness programs nationwide; and donated more than 106,000 HopeLine phones with 319 million minutes of airtime to victims, survivors and domestic violence organizations. For more information on how to donate no-longer-used devices, visit www.verizonwireless.com/hopeline. | Artemis House in Spearfish Brookings Domestic Abuse Shelter in  Brookings Children's Inn in Sioux Falls Communication Services for the Deaf in  Sioux Falls Communities Against Violence and Abuse in  Lemmon Compass Center in  Sioux Falls Domestic Violence Network of the Lakes Region in Madison Domestic Violence SOS in Vermillion Family Crisis Center in  Redfield Jan Manolis Family Safe Center in  Huron Missouri Shores Domestic Violence Center in  Pierre Missouri Valley Crisis Center in  Chamberlain Mitchell Area Safehouse in  Mitchell Safe Harbor in  Aberdeen Wholeness Center in  Flandreau Winner Resource Center for Families in  Winner Women's Resource Center in  Watertown Working Against Violence, Inc. in  Rapid City Yankton Women's Center/Shelter in  Yankton YWCA Family Violence Program in  Huron",11,"31, 114, 15, 11, 91, 100, 66, 76, 76, 74, 117","domestic violence, sexual assault",VZ - The South Dakota Network Against Family Violence and Sexual Assault and The Compass Center Partner With Verizon to Educate Youth on Domestic... - 19-Dec-11 - PRN.pdf
Verizon Wireless,"Not For Profit Organizations, Human Interest Groups, Public Safety","UNI's CVP has been actively involved in developing best practices for  Iowa's state universities in sexual misconduct policies, as well as implementing bystander education on college campuses and K through 12 schools through its Mentors in Violence Prevention (MVP) program. | For more information about the Verizon Foundation, visit  www.verizonfoundation.org. For more information about HopeLine® from Verizon that turns no-longer used cell phones into support for domestic violence victims and survivors or to donate no-longer-used devices, visit www.verizonwireless.com/hopeline. ",2,"40, 37","domestic violence, sexual misconduct",VZ - UNI's Center for Violence Prevention receives support from Verizon to end gender violence - 16-Aug-12 - PRN.pdf
,,,0,0,,"VZ - Verizon Communications, Inc.(VZ-US) Schedules Q3 2020 Earnings Call for 21-October-2020 830 AM ET - 03-Jun-20 - FCSTEV.pdf"
Verizon,"Corporate Social Responsibility, Human Interest Groups","The Enterprise Center, Philadelphia, for its Pathways to Independence program.  Bar Association of  Lehigh County, Allentown, for its "" Not Behind the Wheel"" video, which addresses the dangers of texting and driving. The video received an Emmy award last year from the Mid-Atlantic Chapter of the National Academy of Television Arts and Sciences. Children's Hospital of Pittsburgh for The Child Advocacy Center for victims of neglect or physical or sexual abuse. Downingtown STEM Academy for the STEM for an Equitable Future program. Perkiomen Watershed Conservancy, Schwenksville, to implement the conservancy's ""My Water -- From Rainwater to Groundwater"" youth video contest. | ""Thanks to Verizon's generosity, The Child Advocacy Center will host the annual Pittsburgh Conference on Child Maltreatment, which helps a multidisciplinary team approach to intervention in cases of child physical and sexual abuse,"" said Rob Wittman, case management and conference coordinator, Child Advocacy Center with Children's Hospital of Pittsburgh.  ""This includes a unified, collaborative response by victims' advocates, law enforcement, the legal system, health care practitioners, attorneys, judges and advocates from across the state.  Participants will then have new tools and knowledge to better respond to familial violence and maltreatment."" | PHILADELPHIA, Feb. 7, 2012 /PRNewswire/ -- Nonprofit groups in Pennsylvania received more than $3.3 million from the Verizon Foundation in 2011. The majority of the funds went to organizations that focused on advancing health care, domestic violence prevention, education and sustainability. ",3,"100, 90, 41","sexual abuse, domestic violence",VZ - Verizon Foundation Awarded More Than $3.3 Million in Community Grants in 2011 to Support Nonprofit Organizations in Pennsylvania - 07-Feb-12 - PRN.pdf
Verizon,"Corporate Social Responsibility, Not For Profit Organizations","Sexual Minority Youth Assistance League, for outreach to help teenagers understand the importance of respectful, healthy dating relationships and the warning signs of abusive ones. Ayuda, for its Domestic Violence and Sexual Assault Program, which provides information on available protections and services for immigrant victims of domestic violence and sexual assault. University of the District of Columbia , to support scholarships for needy students and the development of those students under the Verizon Scholars Program, which encourages high academic achievement, degree completion, post-baccalaureate education and peer mentoring.  My Sister's Place, to provide nearly 11,000 meals to domestic violence survivors in the Nation's Capital. | BALTIMORE, Feb. 8, 2012 /PRNewswire/ -- Nonprofit groups in Maryland and the District of Columbia that focused on education programs, domestic violence prevention and using technology to deliver or enhance health care received more than $10.1 million in 2011 from the Verizon Foundation, the philanthropic arm of Verizon.",2,"103, 48","domestic violence, sexual assault",VZ - Verizon Foundation Awarded Nonprofits in Maryland and the Nation's Capital More Than $10.1 Million in 2011 - 08-Feb-12 - PRN.pdf
Verizon Foundation,"Corporate Social Responsibility, Not For Profit Organizations, Public Safety","Alabama Coalition Against Sexual Violence –  Funding for a project of the Alabama Men's Initiative focused on preventing sexual violence by building awareness of the issue among young men.  Funding would allow the Coalition to continue prevention outreach efforts by hosting workshops, presentations, trainings and the recruitment of men. Project will address young men in Limestone and Madison Counties. Crisis Center of  Russell County – Funding for a Prevention Educator to attend training in order to introduce new programs including Safe Dates, Bully Proof and Consent vs. Coercion to schools in Russell County.   Jefferson County Coordinated Community Response (in care of The Women's Fund of Birmingham) -- Funding will be used to build upon previous successes of CCR, now entering its fifth year as a collaborative effort engaging courts, law enforcement, and social service agencies to work together across disciplines to ensure safety for domestic violence victims, accountability for perpetrators, and to change the climate in the community to reduce domestic violence. Montgomery Area Family Violence Program  – Funding for outreach and prevention targeting children and teens with school-based violence prevention education program ""Safe Dates,"" which addresses sexual assault and dating violence. The Montgomery Area Family Violence Programs will use the funds to present ""Safe Dates"" to 8th grade students at four schools. West Anniston Foundation – Funding for the Foundations "" My Best Life"" program, which is based on the Intimate Partner Violence guidelines from the Centers for Disease Control. ""My Best Life"" presentations and instruction will be provided to students in 30-minute daily programs through the end of the 2011-2012 school year. Monthly PTO meetings will provide information to parents and teachers. YWCA of  Central Alabama – Funding will be used to produce a comprehensive domestic violence education CD for high school youth. The CD will include YWCA version of the popular hit song ""Bust Your Windows"" by Jazmine Sullivan, recorded by former  Birmingham Police Chief and current YWCA Court Advocate Annetta Nunn. | Junior League of  Birmingham – Funding will be used to support projects that fall under the Safety & Crisis Intervention Impact Area. Two specific projects that will be funded through the grant are the Rape Response Advocate Program and Children in Crisis. Junior League of Birmingham volunteers serve as advocates for survivors of sexual assault as well as help children who have witnessed or been victims of domestic violence. | Domestic violence prevention among teenagers and young adults, Education for teenagers about healthy relationships and dating violence prevention, Education for young men about how not to be a perpetrator of domestic or sexual violence, or both, and, Domestic violence prevention and education among teens utilizing technology and social media. | Funds to Support Programs Addressing Dating and Domestic Violence Prevention and Victim Services | The Verizon Foundation, the philanthropic arm of Verizon, uses its technology, financial resources and partnerships to address critical social issues, with a focus on education and domestic violence prevention. | In 2011, the Verizon Foundation invited Alabama non-profits working in the area of domestic violence and dating education to submit proposals for programs that addressed one of the following challenges: | In addition to the grants above, the Verizon Foundation presented a  $20,000 grant to the One Place Family Justice Center in Montgomery to be used to help underserved domestic violence survivors, particularly those within the Hispanic, Asian, deaf and elderly communities. One Place plans to use the funds to provide cultural training for the staff and bi-lingual and culturally relevant materials to communities. | Verizon has a long-standing commitment to raising awareness of domestic violence and aiding in its prevention. Verizon Wireless supports survivors of domestic violence through its HopeLine® program. Through HopeLine, no-longer-used wireless phones are collected and recycled or refurbished to support domestic violence survivors. Since 2001, Verizon has collected more than 9 million wireless phones and awarded more than $14 million in cash grants to prevention and awareness programs nationwide. For more information about HopeLine from Verizon, go to www.verizonwireless.com/hopeline.",8,"325, 69, 49, 13, 29, 30, 63, 79","sexual violence, domestic violence, sexual assault","VZ - Verizon Foundation Awards $80,000 to Alabama Non-profits - 27-Jan-12 - PRN.pdf"
Verizon,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","The Verizon Foundation's grant was instrumental in allowing One Place Family Justice Center to bring one of the co-founders of A CALL TO MEN to Montgomery to help start the program in the city. The events will aim to increase men's awareness about violence against women and girls, demonstrate ways sexism has been normalized in everyday culture, discuss how well-meaning men can help prevent and end violence against women and girls and inspire men to take action and hold one another accountable for ending men's violence against women and men. | A CALL TO MEN: The Next Generation of Manhood was founded in 2002. Its vision is to shift social norms that define manhood in our culture and create a world where women and girls are valued and safe.  Although historically it has been almost entirely women at the forefront addressing this issue, A CALL TO MEN believes that preventing domestic and sexual violence is primarily the responsibility of men.  | Verizon Foundation Awards Grant To Alabama Non-Profit For Program Aimed At Domestic Violence Prevention  Thursday, January 17, 2013 03:40:11 PM (GMT) | MONTGOMERY, Ala. , Jan. 17, 2013 /PRNewswire/ -- The Verizon Foundation presented a  $20,000 grant to the One Place Family Justice Center last night to support an initiative aimed at engaging and empowering men to speak out against domestic violence. | Last night's event was the first of two events to kick off A CALL TO MEN in  Montgomery. One Place Family Justice Center is working with Alabama State University , the Montgomery Police Department's Domestic Violence Unit and the Maxwell Air Force Base Family Advocacy Program on this initiative. | Alabama State University  student athletes are working as key strategic partners in helping to end domestic violence on college campuses in Montgomery. Also, officers, community leaders from local civic groups, and governmental agencies and offices will attend a second event to help implement the A CALL TO MEN initiative in Montgomery in the workplace. | Verizon has a long history of supporting survivors of domestic violence and aiding in its prevention. HopeLine® from Verizon collects no-longer-used wireless phones, batteries and accessories in any condition from any wireless service provider. Verizon Wireless then provides wireless phones and airtime to nonprofit organizations for use by domestic violence survivors as well as cash grants to local shelters and domestic violence organizations that focus on prevention, awareness and advocacy.  | In addition, in the past four years, the Verizon Foundation has awarded more than  $21 million to nonprofit organizations that assist domestic violence survivors. | The Verizon Foundation, the philanthropic arm of Verizon, uses its technology, financial resources and partnerships to address critical social issues, with a focus on education and domestic violence prevention. In 2010, the foundation awarded nearly $67 million to nonprofit agencies in the U.S. and abroad. Through Verizon Volunteers, one of the nation's largest employee volunteer programs, Verizon employees and retirees have volunteered nearly 6 million hours of community service since 2000. For more information on the foundation, visit www.verizonfoundation.org.",9,"90, 69, 21, 40, 49, 54, 70, 24, 79","sexual violence, sexism, domestic violence",VZ - Verizon Foundation Awards Grant To Alabama Non-Profit For Program Aimed At Domestic Violence Prevention - 17-Jan-13 - PRN.pdf
